steel_name,source,C,Cr,V,Mo,W,Co,N,Mn,Si,Nb,Ni,powder_metallurgy,total_carbide_formers,cr_to_c_ratio,is_stainless,total_alloy_content,pren,cvf,c_above_eutectoid,vc_fraction,matrix_cr,ms_temp,pm_x_cvf,pm_x_excess_c,catra_tcc_mm,catra_test_hrc,charpy_ftlbs
Skolvar,bohler-pocket-book,0.7,5.0,1.6,2.25,0.0,0.0,0.0,0.45,0.2,0.0,0.0,0,3.85,7.143,0,10.2,12.43,14.28,0,3.12,2.2,194.15,0.0,0,,,
Sleipner,bohler-uddeholm,0.9,7.8,0.5,2.5,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0,3.0,8.667,0,13.1,16.05,15.429,0.13,0.975,4.2,156.87,0.0,0.0,,,
Stavax ESR,bohler-pocket-book,0.38,13.6,0.3,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0,0.3,35.789,1,15.68,13.6,8.163,0,0.585,12.08,198.5,0.0,0,,,
Sverker 21,bohler-uddeholm,1.55,11.3,0.8,0.8,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0,1.6,7.29,0,15.15,13.94,24.807,0.78,1.56,5.1,130.31,0.0,0.0,,,
Sverker 3,bohler-pocket-book,2.05,12.7,0.0,0.0,1.1,0.0,0.0,0.8,0.3,0.0,0.0,0,1.1,6.195,0,16.95,14.51,30.159,1.28,0.0,4.5,107.21,0.0,0.0,,,
Tyrax ESR,bohler-pocket-book,0.4,12.0,0.5,2.3,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0,2.8,30.0,0,15.9,19.59,9.363,0,0.975,10.4,192.15,0.0,0,,,
UHB 11,bohler-pocket-book,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0,0.0,0.0,0,1.4,0.0,6.75,0,0.0,0,306.22,0.0,0,,,
Unimax,bohler-uddeholm,0.5,5.0,0.5,2.3,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0,2.8,10.0,0,9.0,12.59,9.453,0,0.975,3.0,234.55,0.0,0,,,
V-Toku 2,reference-specs,1.15,0.3,0.0,0.0,1.5,0.0,0.0,0.2,0.15,0.0,0.0,0,1.5,0.261,0,3.3,2.77,15.849,0.38,0.0,0,275.49,0.0,0.0,314,63.6,
VG-1,hitachi-proterial,1.0,14.0,0.3,0.3,0.0,0.0,0.0,0.5,0.35,0.0,0.0,0,0.6,14.0,1,16.45,14.99,16.713,0.23,0.585,10.0,98.35,0.0,0.0,,,
VG-10,hitachi-proterial,1.0,15.0,0.25,1.0,0.0,1.55,0.0,0.5,0.35,0.0,0.0,0,1.25,15.0,1,19.65,18.3,17.047,0.23,0.487,11.0,81.0,0.0,0.0,479,61.6,
VG-2,hitachi-proterial,0.78,14.5,0.0,0.5,0.0,0.0,0.0,0.5,0.35,0.0,0.0,0,0.5,18.59,1,16.63,16.15,13.32,0.01,0.0,11.38,90.8,0.0,0.0,,,
Vanadis 10,bohler-uddeholm,2.9,8.0,9.8,1.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,11.3,2.759,0,23.2,12.95,60.24,2.13,19.11,0,161.95,60.24,2.13,,,
Vanadis 23 SuperClean,bohler-pocket-book,1.28,4.2,3.1,5.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,14.5,3.281,0,19.98,31.26,27.033,0.51,6.045,0,196.88,0.0,0.0,,,
Vanadis 30 SuperClean,bohler-pocket-book,1.28,4.2,3.1,5.0,6.4,8.5,0.0,0.0,0.0,0.0,0.0,0,14.5,3.281,0,28.48,31.26,27.033,0.51,6.045,0,196.88,0.0,0.0,,,
Vanadis 4 Extra,bohler-uddeholm,1.4,4.7,3.7,3.5,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1,7.2,3.357,0,14.1,16.25,28.221,0.63,7.215,0,189.92,28.221,0.63,,,
Vanadis 60 SuperClean,bohler-pocket-book,2.3,4.2,6.5,7.0,6.5,10.5,0.0,0.0,0.0,0.0,0.0,0,20.0,1.826,0,37.0,38.02,48.171,1.53,12.675,0,181.88,0.0,0.0,,,
Vanadis 8,bohler-uddeholm,2.3,4.8,8.0,3.6,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1,11.6,2.087,0,19.5,16.68,48.81,1.53,15.6,0,187.96,48.81,1.53,677,60.7,
Vanax,reference-specs,0.22,21.2,1.3,2.6,0.0,0.0,1.8,0.5,0.5,0.0,0.0,0,3.9,96.364,1,28.12,58.58,10.257,0,2.535,20.32,154.72,0.0,0,546,61,
Vanax SuperClean,bohler-pocket-book,0.36,18.2,3.5,1.1,0.0,0.0,1.55,0.3,0.3,0.0,0.0,0,4.6,50.556,1,25.31,46.63,15.357,0,6.825,16.76,149.13,0.0,0,,,
Vancron SuperClean,bohler-pocket-book,1.3,4.5,10.0,1.8,0.0,0.0,1.8,0.4,0.5,0.0,0.0,0,11.8,3.462,0,20.3,39.24,38.508,0.53,19.5,0,205.09,0.0,0.0,,,
Vidar 1,bohler-pocket-book,0.38,5.0,0.4,1.3,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0,1.7,13.158,0,8.48,9.29,7.278,0,0.78,3.48,295.85,0.0,0,,,
Vidar 1 ESR,bohler-pocket-book,0.38,5.0,0.4,1.3,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0,1.7,13.158,0,8.48,9.29,7.278,0,0.78,3.48,295.85,0.0,0,,,
